,Artist,Genre,Link
0,rihanna,Pop,https://www.youtube.com/embed/HL1UzIK-flA
2,rihanna,Pop,https://www.youtube.com/embed/B3eAMGXFw1o
4,rihanna,R&amp;B;,https://www.youtube.com/embed/Ao8cGLIMtvg
6,rihanna,Pop,https://www.youtube.com/embed/kt0g4dWxEBo
8,rihanna,R&amp;B;,www.youtube.com/embed/b-3BI9AspYc
10,rihanna,R&amp;B;,www.youtube.com/embed/ehcVomMexkY
12,rihanna,Pop,http://www.youtube.com/embed/JF8BRvqGCNs
14,rihanna,Pop,http://www.youtube.com/embed/lWA2pjMjpBs
16,rihanna,Rock,http://www.youtube.com/embed/1Uw6ZkbsAH8
18,rihanna,R&amp;B;,http://www.youtube.com/embed/HBxt_v0WF6Y
20,rihanna,Live,http://www.youtube.com/embed/6equ0n89xzo
22,rihanna,Pop,http://www.youtube.com/embed/b3HeLs8Yosw
24,rihanna,R&amp;B;,http://www.youtube.com/embed/tg00YEETFzg
26,rihanna,R&amp;B;,http://www.youtube.com/embed/ZR0v0i63PQ4
28,rihanna,Live,http://www.youtube.com/embed/oP6ITBMX8-c
30,rihanna,R&amp;B;,http://www.youtube.com/embed/sEhy-RXkNo0
32,rihanna,Live,http://www.youtube.com/embed/IaTMIDAvuLU
34,rihanna,R&amp;B;,http://www.youtube.com/embed/nhBorPm6JjQ?rel=0
36,rihanna,R&amp;B;,http://www.youtube.com/embed/KdS6HFQ_LUc?rel=0
74,justin-bieber,Pop,https://www.youtube.com/embed/PfGaX8G0f2E
76,justin-bieber,Pop,https://www.youtube.com/embed/fRh_vgS2dFE
78,justin-bieber,Pop,https://www.youtube.com/embed/DK_0jXPuIr0
80,justin-bieber,Pop,www.youtube.com/embed/47YClVMlthI
82,justin-bieber,Pop,www.youtube.com/embed/JC2yu2a9sHk
84,justin-bieber,Pop,http://www.youtube.com/embed/OmliBRZUxnk
86,justin-bieber,Live,http://www.youtube.com/embed/VkvQNumePRQ
88,justin-bieber,Pop,http://www.youtube.com/embed/Ys7-6_t7OEQ
90,justin-bieber,Pop,http://www.youtube.com/embed/R4em3LKQCAQ
